qname,path_count,parent_count,total_occurrences
common:NotApplicableDefault,39,39,39
core:UseParentsSubsidiariesAssociatesJointVenturesOtherRelatedPartiesDimensionsToIdentifyIndividualRelatedEntitiesGuidance,7,7,7
countries:Jersey,6,2,6
core:InvestmentsInGroupUndertakings,6,4,6
core:UseCurrentNon-currentDimensionToIdentifyWithinOneYearAfterOneYearValuesGuidance,6,4,6
core:StaffCostsEmployeeBenefitsExpense,6,6,6
countries:Guernsey,6,2,6
countries:IsleMan,6,2,6
countries:UnitedKingdom,6,2,6
core:Equity,5,5,5
core:RetirementBenefitObligationsSurplus,5,4,5
core:OwnShares,5,3,5
curr:USDollar,4,2,4
core:PensionCostsDefinedContributionPlan,4,3,4
core:Share-basedPaymentExpenseCashSettled,4,3,4
core:UseInvestmentsMovementsDimensionToIdentifyChangesInInvestmentsProvisionsDuringPeriodGuidance,4,4,4
core:TotalInventories,4,3,4
core:AccruedLiabilitiesDeferredIncome,4,3,4
core:IntangibleAssets,4,3,4
core:Share-basedPaymentExpenseEquitySettled,4,3,4
core:DebenturesInIssue,4,2,4
core:RiskAdjustmentForNon-financialRisk,4,4,4
curr:JapaneseYen,4,2,4
core:WagesSalaries,4,3,4
core:ProfitLossAttributableToNon-controllingInterests,4,4,4
core:BankBorrowingsOverdrafts,4,2,4
core:InvestmentsInAssociatesJointVenturesParticipatingInterests,4,3,4
core:UseContinuingDiscontinuedDimensionToIdentifyContinuedDiscontinuedHeldForSaleValuesGuidance,4,4,4
core:PropertyPlantEquipment,4,3,4
curr:CanadianDollar,4,2,4
curr:Euro,4,2,4
core:UseCurrentNon-currentDimensionToIdentifyCurrentNon-currentValuesGuidance,4,2,4
core:ProfitLoss,4,4,4
curr:PoundSterling,4,2,4
core:DepreciationAmortisationExpense,3,3,3
core:PaymentsReceivedOnAccount,3,2,3
core:PensionStaffCostsDefinedBenefitPlan,3,2,3
core:PrepaymentsAccruedIncome,3,2,3
core:PrepaymentsAccruedIncomeNotExpressedWithinCurrentAssetSubtotal,3,3,3
core:IncomeTaxExpenseCreditOnComponentsOtherComprehensiveIncome,3,3,3
core:PresentValueFutureCashFlows,3,3,3
bus:DescriptionShareType,3,3,3
core:ProfitLossAttributableToOwnersParent,3,3,3
core:GainLossFromFairValueCashFlowHedgesBeforeTaxRecognisedInOtherComprehensiveIncome,3,3,3
countries:CountryListHeading,3,3,3
countries:HomeCountriesHeading,3,3,3
countries:MainRegionsHeading,3,3,3
countries:OtherCountriesRegions,3,3,3
core:ProvisionsForLiabilitiesBalanceSheetSubtotal,3,3,3
core:BillsExchangePayable,3,2,3
core:IncreaseDecreaseInStocksInventoriesFinishedGoodsWorkInProgress,3,3,3
core:MaintenanceReserve,3,2,3
core:RedundancyCosts,3,2,3
core:DescriptionBodyAuthorisingFinancialStatements,3,3,3
core:Creditors,3,3,3
core:BondsMedium-termNotesInIssue,3,2,3
core:LoansToAssociatesJointVenturesParticipatingInterests,3,2,3
core:ResearchDevelopmentExpenseRecognisedInProfitOrLoss,3,3,3
core:LoansToGroupUndertakings,3,2,3
core:GainLossOnHedgeInvestmentsInForeignOperationsBeforeTaxInOtherComprehensiveIncome,3,3,3
core:RawMaterialsConsumablesUsed,3,2,3
core:DateAuthorisationFinancialStatementsForIssue,3,3,3
core:GainLossOnHedgingInstrumentsDesignatedAsFairValueHedges,3,3,3
core:SecurityDeposit,3,2,3
core:Debtors,3,2,3
core:GainLossOnReclassificationCashFlowHedgesToProfitOrLossFromEquityBeforeTax,3,3,3
core:DebtSecuritiesHeld,3,3,3
core:DebtSecuritiesInIssue,3,2,3
core:OffPayrollWorkingExpense,3,2,3
bus:UseEntityShareClassesDimensionToIdentifyIndividualShareClassGuidance,3,3,3
bus:UseShareTypesDimensionToIdentifyIndividualShareTypeGuidance,3,3,3
core:SocialSecurityCosts,3,2,3
core:TaxationIncludingDeferredTaxationBalanceSheetSubtotal,3,2,3
core:SubordinatedLiabilities,3,2,3
core:CashBankOnHand,3,2,3
core:InvestmentProperty,3,2,3
core:DeferredTaxAssetDebtors,3,2,3
core:AmountsOwedByAssociatesJointVenturesParticipatingInterests,3,2,3
core:OtherCreditorsIncludingTaxationSocialSecurityBalanceSheetSubtotal,3,2,3
core:OtherEligibleBillsHeld,3,2,3
core:AmountsOwedByGroupUndertakings,3,2,3
core:TradeCreditorsTradePayables,3,2,3
core:TradeDebtorsTradeReceivables,3,2,3
core:OtherInvestmentsOtherThanLoans,3,2,3
core:TreasuryBillsHeld,3,2,3
core:TreasuryOtherEligibleBillsHeld,3,2,3
core:TurnoverRevenue,3,3,3
core:EquitySecuritiesHeld,3,3,3
core:OtherLoansClassifiedUnderInvestments,3,2,3
core:FairValueAssetsDefinedBenefitPlan,3,3,3
core:OtherProvisionsBalanceSheetSubtotal,3,2,3
core:AmountsOwedToAssociatesJointVenturesParticipatingInterests,3,2,3
core:AmountsOwedToGroupUndertakings,3,2,3
