qname,path_count,parent_count,total_occurrences
common:NotApplicableDefault,39,39,39
countries:Jersey,36,6,36
countries:Guernsey,36,6,36
countries:OtherChannelIslands,27,3,27
core:InvestmentsInGroupUndertakings,18,6,18
countries:IsleMan,18,6,18
countries:UnitedKingdom,18,6,18
core:OwnShares,17,5,17
core:AmountSpecificBankLoan,16,2,16
core:DescriptionSpecificBankLoanIncludingRateRepaymentDate,16,2,16
core:PlantEquipmentUnderOperatingLeases,16,2,16
core:SpecificFloatingRateNoteHeldComponentTotalFloatingRateNotesHeld,16,2,16
core:SpecificSecuritisationNotesInIssueItemComponentTotalSecuritisationNotesInIssue,16,2,16
core:UseCurrentNon-currentDimensionToIdentifyCurrentNon-currentValuesGuidance,16,4,16
core:OtherAssetsUnderOperatingLeases,16,2,16
core:EffectiveInterestRateOnBankOverdrafts,16,2,16
core:Medium-termNotesInIssue,16,2,16
core:EffectiveInterestRateOnBankBorrowings,16,2,16
core:BondsInIssue,16,2,16
core:UseCurrentNon-currentDimensionToIdentifyWithinOneYearAfterOneYearValuesGuidance,14,6,14
core:PensionCostsDefinedContributionPlan,10,4,10
core:InvestmentsInAssociatesJointVenturesParticipatingInterests,10,4,10
countries:CongoDemocraticRepublic,9,3,9
countries:CookIslands,9,3,9
countries:CostaRica,9,3,9
countries:CoteDIvoire,9,3,9
countries:Croatia,9,3,9
countries:Cuba,9,3,9
countries:Curaçao,9,3,9
countries:Cyprus,9,3,9
countries:CzechRepublic,9,3,9
countries:Denmark,9,3,9
countries:Djibouti,9,3,9
countries:Dominica,9,3,9
countries:DominicanRepublic,9,3,9
countries:Ecuador,9,3,9
countries:Egypt,9,3,9
countries:ElSalvador,9,3,9
countries:England,9,3,9
countries:EnglandWales,9,3,9
countries:EquatorialGuinea,9,3,9
countries:Eritrea,9,3,9
countries:Estonia,9,3,9
countries:Ethiopia,9,3,9
countries:Europe,9,3,9
countries:EuropeanCommunity,9,3,9
countries:EuropeMiddleEastAfrica,9,3,9
countries:FalklandIslandsMalvinas,9,3,9
countries:FaroeIslands,9,3,9
countries:Fiji,9,3,9
countries:Finland,9,3,9
countries:France,9,3,9
countries:FrenchGuiana,9,3,9
countries:FrenchPolynesia,9,3,9
countries:FrenchSouthernTerritories,9,3,9
countries:FurtherSpecificRegion1ComponentAllCountriesRegions,9,3,9
countries:FurtherSpecificRegion2ComponentAllCountriesRegions,9,3,9
countries:FurtherSpecificRegion3ComponentAllCountriesRegions,9,3,9
countries:FurtherSpecificRegion4ComponentAllCountriesRegions,9,3,9
