id,qname,namespace,local_name,xbrl_type,full_type,substitution_group,period_type,abstract,nillable,balance,preferred_label_role,is_dimension,is_typed_dimension,typed_domain_type,is_analysis_dimension,is_grouping_dimension
0000e9fd-e313-4e52-828c-4952813a21d1,curr:BurundianFranc,http://xbrl.frc.org.uk/cd/2023-01-01/currencies,BurundianFranc,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
001190fe-95f1-4242-98d8-020a8dc72370,core:DividendsDueFromSubsidiaries,http://xbrl.frc.org.uk/fr/2023-01-01/core,DividendsDueFromSubsidiaries,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,debit,,false,false,,false,false
00219162-c07d-46ad-ae6c-a1303d812ac8,countries:Thailand,http://xbrl.frc.org.uk/cd/2023-01-01/countries,Thailand,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
0022fc61-ebfe-4d88-bd1b-8554f2cfcd24,core:LoansAdvancesGrantedToAssociatesJointVenturesParticipatingInterestsClassifiedAsFinancingActivities,http://xbrl.frc.org.uk/fr/2023-01-01/core,LoansAdvancesGrantedToAssociatesJointVenturesParticipatingInterestsClassifiedAsFinancingActivities,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
002bfd09-b89f-415d-8144-4c9504f326d5,core:ItemsInCourseCollectionFromOtherBanks,http://xbrl.frc.org.uk/fr/2023-01-01/core,ItemsInCourseCollectionFromOtherBanks,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,debit,,false,false,,false,false
003d29da-92e4-435b-9377-47927706ae31,core:MarginAccountsDueToBrokers,http://xbrl.frc.org.uk/fr/2023-01-01/core,MarginAccountsDueToBrokers,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,credit,,false,false,,false,false
00408754-1450-4959-8b7c-eaa4e2a2ba44,core:MajorCustomer11,http://xbrl.frc.org.uk/fr/2023-01-01/core,MajorCustomer11,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
00493968-b41f-4727-b1b4-cafaf7c3a247,core:DividendExpenseOnSecuritiesSoldButNotPurchased,http://xbrl.frc.org.uk/fr/2023-01-01/core,DividendExpenseOnSecuritiesSoldButNotPurchased,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,debit,,false,false,,false,false
0052ecad-7609-4af1-8971-1c14e423914d,core:FairValueAssetsDefinedBenefitPlan,http://xbrl.frc.org.uk/fr/2023-01-01/core,FairValueAssetsDefinedBenefitPlan,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,debit,,false,false,,false,false
005a2558-6642-4c40-a963-64c65f58a7aa,core:Subsidiary3,http://xbrl.frc.org.uk/fr/2023-01-01/core,Subsidiary3,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
005d8f93-3b21-4ad1-9ff4-94999401619f,core:PaymentsRelatedToChangesInOwnershipInterestsInSubsidiariesThatDoNotResultInLossControl,http://xbrl.frc.org.uk/fr/2023-01-01/core,PaymentsRelatedToChangesInOwnershipInterestsInSubsidiariesThatDoNotResultInLossControl,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
0078f826-b13f-4fb9-959f-00a8fd5efb11,dpl:AuditAccountancyAuditCosts,http://xbrl.frc.org.uk/dpl/2023-01-01,AuditAccountancyAuditCosts,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,false,debit,,false,false,,false,false
007e7756-da51-4245-9618-48a5354784d1,core:JointVenture1,http://xbrl.frc.org.uk/fr/2023-01-01/core,JointVenture1,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
