id,concept_qname,lang,type,role,text
184293ab-87e1-42d0-bc88-6df284e99a5e,accrep:AccountantInformationHeading,cy,Standard Label,http://www.xbrl.org/2003/role/label,Gwybodaeth am y cyfrifydd [pennawd]
5ee28f12-6acc-4370-9788-0b18d3e99ec7,accrep:AccountantInformationHeading,en,Standard Label,http://www.xbrl.org/2003/role/label,Accountant information [heading]
27e59500-4532-41a5-b0e7-c40cb828e3d7,accrep:AccountantsReportHeading,cy,Standard Label,http://www.xbrl.org/2003/role/label,Adroddiad y cyfrifydd [pennawd]
3a148515-3665-44aa-a0f3-68252b3bbd13,accrep:AccountantsReportHeading,en,Standard Label,http://www.xbrl.org/2003/role/label,Accountant's report [heading]
60cdb62f-cb58-4937-8e73-9da697277123,accrep:AccountantsReportOnFinancialStatements,cy,Standard Label,http://www.xbrl.org/2003/role/label,Adroddiad y cyfrifydd ar ddatganiadau ariannol
9965c1a4-c7e2-4bde-918c-93b3508f6496,accrep:AccountantsReportOnFinancialStatements,en,Standard Label,http://www.xbrl.org/2003/role/label,Accountant's report on financial statements
6ee86745-1c01-4377-b514-3b39807b6f97,accrep:DateAccountantsReport,cy,Standard Label,http://www.xbrl.org/2003/role/label,Dyddiad adroddiad y cyfrifydd
712a3913-8dab-4fb4-a43f-38bcec2f0016,accrep:DateAccountantsReport,en,Standard Label,http://www.xbrl.org/2003/role/label,Date of accountant's report
f1740c56-a113-43ea-81c9-abadfc428ff0,accrep:NameAccountantResponsible,cy,Standard Label,http://www.xbrl.org/2003/role/label,Enw'r cyfrifydd cyfrifol
10ea6a49-dcbd-4db4-8f80-86124912fc55,accrep:NameAccountantResponsible,en,Standard Label,http://www.xbrl.org/2003/role/label,Name of accountant responsible
fbcc0204-c2f2-4cd6-b8df-92757dbcd68d,accrep:NameOrLocationAccountantsOffice,cy,Documentation,http://www.xbrl.org/2003/role/documentation,Enw lleoliad neu ddisgrifiad ydd yn enwi'n glir y swyddog sydd yn cynnal yr adolygiad.
fbe92cf7-3aae-481b-8ca3-3eded5f3945b,accrep:NameOrLocationAccountantsOffice,cy,Standard Label,http://www.xbrl.org/2003/role/label,Enw neu leoliad swyddfa'r cyfrifydd
28c8784e-c910-45ac-894b-c5e162d4ca7a,accrep:NameOrLocationAccountantsOffice,en,Documentation,http://www.xbrl.org/2003/role/documentation,"Name, location or description which clearly identifies the office carrying out the review."
1f5126d0-1da2-47fe-a6e4-444ca95191ba,accrep:NameOrLocationAccountantsOffice,en,Standard Label,http://www.xbrl.org/2003/role/label,Name or location of accountant's office
3bed6cd3-30a7-489b-aabb-e95b9fed3c52,accrep:StatementOnScopeAccountantsReport,cy,Standard Label,http://www.xbrl.org/2003/role/label,Datganiad ar gwmpas adroddiad y cyfrifydd
e0e5282f-2796-4176-81f2-a8c85f16d756,accrep:StatementOnScopeAccountantsReport,en,Standard Label,http://www.xbrl.org/2003/role/label,Statement on scope of accountant's report
f4fb63b0-e0ad-480d-bece-aaf1e3d40f0a,accrep:UseThirdPartyAgentStatusDimensionToIdentifyMultipleAccountantsOrJointAccountantsGuidance,cy,Standard Label,http://www.xbrl.org/2003/role/label,Defnyddiwch dimensiwn statws asiant trydydd parti i enwi cyfrifwyr lluosog neu gyfrifwyr ar y cyd [canllawiau]
54999aae-fb78-4e80-8353-6cdeb38acf1c,accrep:UseThirdPartyAgentStatusDimensionToIdentifyMultipleAccountantsOrJointAccountantsGuidance,en,Standard Label,http://www.xbrl.org/2003/role/label,Use third party agent status dimension to identify multiple accountants or joint accountants [guidance]
edfa068b-00eb-43f4-8dec-3bc0d5e3b442,aurep:AuditablePartRemunerationReportHasBeenProperlyPreparedTruefalse,cy,Standard Label,http://www.xbrl.org/2003/role/label,Mae rhan yr adroddiad ar gydnabyddiaethau y gellir ei harchwilio wedi cael ei pharatoi yn briodol [gwir/anwir]
f6cb4b3c-f51b-4e3c-941b-f0bfb4ddeb27,aurep:AuditablePartRemunerationReportHasBeenProperlyPreparedTruefalse,en,Standard Label,http://www.xbrl.org/2003/role/label,Auditable part of the remuneration report has been properly prepared [true/false]
ecc0e466-0277-4809-a947-1d4493ad6526,aurep:AuditFeesExpenses,cy,Standard Label,http://www.xbrl.org/2003/role/label,Ffioedd a threuliau archwilio
77d593fc-ca1c-4558-8000-9bbf7fbd7fbb,aurep:AuditFeesExpenses,en,Standard Label,http://www.xbrl.org/2003/role/label,Audit fees and expenses
d2f93e9d-c9a7-4633-80ad-37539fafe709,aurep:AuditingAccountsAssociatesFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Cyfrifon archwilio unigolion cyswllt, ffioedd"
8905ae93-f318-4ac3-932a-334ea00acc59,aurep:AuditingAccountsAssociatesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Auditing accounts of associates, fees"
3ee8117e-27cb-4f2f-8f72-68f128b498aa,aurep:AuditingAccountsAssociatesPensionSchemesFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Cyfrifon archwilio unigolion cyswllt, cynlluniau pensiwn, ffioedd"
64b17db4-915a-451f-b0d0-aace06bed32a,aurep:AuditingAccountsAssociatesPensionSchemesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Auditing accounts of associates, pension schemes, fees"
a2a9eecb-eb47-495a-9f10-1dfd2f44642d,aurep:AuditingAccountsAssociatesServiceToEntitySubsidiariesFees,cy,Standard Label,http://www.xbrl.org/2003/role/label,"Cyfrifon archwilio unigolion cyswllt, gwasanaeth i endid ac unigolion cyswllt, ffioedd"
94518cb2-dc5c-470c-9da7-31c58c2b5f16,aurep:AuditingAccountsAssociatesServiceToEntitySubsidiariesFees,en,Standard Label,http://www.xbrl.org/2003/role/label,"Auditing accounts of associates, service to entity and subsidiaries, fees"
75c1f906-ada3-4974-bd47-ae4d1fa5db1e,aurep:AuditorInformationHeading,cy,Standard Label,http://www.xbrl.org/2003/role/label,Gwybodaeth yr archwilydd [pennawd]
0b339d79-f141-4c06-97d9-34bd84238d9f,aurep:AuditorInformationHeading,en,Standard Label,http://www.xbrl.org/2003/role/label,Auditor information [heading]
