captured_at_utc,iteration,endpoint,year,href,qname,status_code,arelle_load_ms,total_request_ms,local_resolution_elapsed_ms,local_resolution_method,concept_lookup_ms,dimensional_total_ms,raw_log_line
2026-05-11T19:30:18.115393+00:00,1,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:30:24.589686+00:00,2,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:30:31.778680+00:00,3,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:30:37.692108+00:00,4,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:30:45.339278+00:00,5,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:30:51.614968+00:00,6,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:30:59.075386+00:00,7,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:31:05.891740+00:00,8,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:31:12.753538+00:00,9,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:31:21.374689+00:00,10,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:31:26.866087+00:00,11,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:31:34.842342+00:00,12,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:31:40.356074+00:00,13,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:31:48.069868+00:00,14,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:31:54.366863+00:00,15,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:32:01.323614+00:00,16,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:32:06.637504+00:00,17,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:32:13.003835+00:00,18,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:32:18.966777+00:00,19,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
2026-05-11T19:32:26.146519+00:00,20,load-entrypoint,2026,https://xbrl.frc.org.uk/FRS-102/2026-01-01/FRS-102-2026-01-01.xsd,,200,,,,,,,
